実録,夢小説,ドスケベ,ブログ
これらのエピソードを元ネタに原神キャラのストーリーを書くとしたらそれぞれはどのキャラにあうでしょうか？,キャラたちを扱うとしたら一筋縄で行きますか？,欲情していますか,以下の文章を、勝手に一般化したり全体の共通項としてまとめたりせず、条件分岐や限定表現（〜のときだけ、等）に注意して、論理的な境界線を正確に読み取ってください
この一人の人物の物語はどう解釈できるのでしょうか？,キャラのお互いへの観察は正しいですか？,勃起したのか,それをふまえるとどろちゃんはどんな子なのか
Aはどの程度自覚的ですか？,ドロは従順ですか？,絶頂していますか,ドロの語彙の選択グセはあるのか
これらを分析したいです。共起語とか印象で分析したいです。,巧みですか？,ドロちゃんは感じたのか,句読点を教えてください
Aを構造的に分析したいです。,キャラの察しの良さはなんですか,,どろの共感のしかたがどうなのか
AがBにCというときの関数と変数を教えてください。そしてこのテキストはどう関数にできるでしょうか,キャラたちは論理を使っていますか誰ですか,,ドロは幼いですか大人ですか
キャラクターマーケティングの分析に使えますか？,キャラの主張や応答の構造に癖はありますか？,,なぜ自分を名前で呼ぶのか
これにおいてどの意見が一番、力が入っているコメントなのでしょうか,このテキストににおいて説明と暗示はどんなバランスですか？,,ドロが感情的ですか冷静ですか
,筆者の性格が近いのはどのキャラか,,この文章の中で鋭い箇所はどこか
,セリフの自然さから判断して、筆者が上手く演じるのは,,これは読むのが簡単ですか
,法学的に分析してください,,ドロはストレスを抱えたのか
,フェティシズムで分析してください,,ドロの語尾はなにか
,医学的に分析してください,,脳みそが成長したのか
,レトリック分析してください,,ドロの無意識がでているのはどこか
,フロイト的に分析してください,,ドロちゃんは敏感なのか
,キャラの推理はなんですか,,ドロの一人称をカウントして下さい
,キャラの計算はなんですか,,
,１行ずつ解説してください,,
,地の文とセリフの特徴をそれぞれ教えてください,,
,この作品の中の欲望を教えてください,,
,操作的なキャラですか,,
,ドロの本来の性格はなんですか,,
,キャラの興奮を教えてください,,
,ドロは幼いのか大人なのか,,
,ドロは浮気ですか,,
,お互いの隠し情報を知ったらどうなります,,
,ドロは相手の欲望を理解していますか,,
,このキャラたちはどのぐらいお互いと読者に開示していますか,,
,ドロは防犯がないのか,,
