日付,文脈,タイムスタンプ,リスナー,コメント
2026-06-20,,,ネネリウム,配信はもしかすると初めてかも
2026-06-20,配信でははじめまして,,ネネリウム,なんか気になる女の子だな？と思って、ずっと密かに❤してましたよ
2026-06-20,A：どういうとこだったんだろう,,ネネリウム,なんだろな・・・、儚さというか、危うさというか・・・
2026-06-20,,,ネネリウム,あとは、やっぱり、かわいくなろうって努力している女の子は素敵だなと思います
2026-06-20,Aが最近は自分が寂しいからって自己中でつけてるという,,ネネリウム,自己中でいいよっていうか、こうしてお話してくれるだけで楽しいよ
2026-06-20,,,ネネリウム,どろちゃんが配信つけたら、「お。なんか病んでんな？」って思えばいいのねw
2026-06-20,,,ネネリウム,わたしは、全肯定オタクなので、女の子の承認欲求を上げることだけは得意だよ！
2026-06-20,,,パン🥂🥐,パン🥂🥐が香水を1個送りました
2026-06-20,,,パン🥂🥐,パン🥂🥐がサッカーを1個送りました
2026-06-20,,,ネネリウム,ネネリウムが香水を1個送りました
2026-06-20,A：フィルムレッドとウタが好き,,クライマー🐈️🪻,ウタのコスプレして
2026-06-20,,,クライマー🐈️🪻,そして写真とらせて
2026-06-20,,,クライマー🐈️🪻,コーヒー飲めないと思ってた（偏見）
2026-06-20,Aがapexで負けそうになる,,ネネリウム,しにかけて、きゃーきゃー言ってるのよき
2026-06-20,ポケモン赤緑の話,,ネネリウム,どろちゃん生まれてない（2回）
2026-06-20,,,ネネリウム,どろちゃん、お話するの上手だと思う
2026-06-20,,,ネネリウム,根っからのアイドルオタクなのでねw
2026-06-20,猫の話,,ネネリウム,どろちゃんも長毛種だもんね
2026-06-20,どろちゃんも長毛種だもんねの続き、A：猫の話？どろの話？,,ネネリウム,どろちゃんの話www
2026-06-20,撮影会の話,,ネネリウム,どろちゃん、撮影会とか出てないの？
2026-06-20,撮影会の話,,ネネリウム,わたしが昔から馴染みある撮影会事務所知ってるから後で後で教えてあげようか？？
2026-06-20,撮影会の話,,ネネリウム,あ。ちゃんとしてる所だよ！アイドルの運営もしてる！
2026-06-20,撮影会の話,,ネネリウム,人脈っていうか、そこのオタクをしてただけだよw
2026-06-20,,,ネネリウム,うたちゃん、シャドーハウスってマンガ（アニメ）しってる？
2026-06-20,シャドーハウスの話,,ネネリウム,どろちゃん、コスプレしたら好きそう
2026-06-20,,,ネネリウム,どろちゃんのお洋服姿すきだから、時々見せてね
2026-06-20,,,ネネリウム,わたしもいろいろ聞いちゃったから、香水送っとくね👍️
2026-06-20,,,(ヒ)(モ)な[詐][欺][師]~MIYABI~,姫ねれないの？
2026-06-20,,,(ヒ)(モ)な[詐][欺][師]~MIYABI~,やんでれら
2026-06-20,,,(ヒ)(モ)な[詐][欺][師]~MIYABI~,頻繁に部屋の模様替えしてるイメージありますね
2026-06-20,,,(ヒ)(モ)な[詐][欺][師]~MIYABI~,姫は出会った頃から病んでます笑笑
2026-06-20,,,(ヒ)(モ)な[詐][欺][師]~MIYABI~,服気に食わないって言って着替えてたりも
2026-06-20,,,(ヒ)(モ)な[詐][欺][師]~MIYABI~,あんなことやこんなことたくさんしたいことはありますねー
