日付,文脈,タイムスタンプ,リスナー,コメント
2026-02-18,,21:25,abangpeking,右下の絵はドロちゃんですか？
2026-02-18,,22:08,abangpeking,まさか、あなたに惚れてしまうかもwww
2026-02-18,,22:23,abangpeking,君はかわいいね~
2026-02-18,,23:44,abangpeking,ドロちゃんと友達になれますか？
2026-02-20,原神のアカウント名が映ったとき。A「ん？私どろっぽかった？」,1:12:06,sessoku,ほんとにどろさんなんだね
2026-02-20,原神のアカウント名が映ったとき。A「ん？私どろっぽかった？」,1:12:29,sessoku,ゲームの名前
2026-02-25,Aがドロちゃんって呼んでね！と画面にテキストを出している,11:25,sessoku,ドロちゃんこんにちは
2026-02-25,Aがドロちゃんって呼んでね！と画面にテキストを出している,12:13,sessoku,今も素敵ですね
2026-02-26,鳴潮のミニゲームイベント,15:47,dai_719,捕獲成功ー！
2026-02-26,ドロが塵歌壺でパンを地べたに置いた,49:33,sessoku,僕の部屋はありますか？
2026-02-26,ドロが塵歌壺でパンを地べたに置いた,50:22,sessoku,わんわん
2026-02-26,ドロが塵歌壺でパンを地べたに置いた,51:00,sessoku,地べたに置かれればね
2026-02-27,ドロが昼は眠いと言って,1:19:54,yuhi0619,口数少なくなってますもんねｗ
2026-03-01,好きな動物はウサギ、キツネ、シカと話す,17:55,掛橋ノいおりん (omwiorin),狐はウサギに近しいものあるから分かるけど、なぜに鹿？笑
2026-03-01,好きな動物はウサギ、キツネ、シカと話す,18:33,掛橋ノいおりん (omwiorin),美人なんだw 鹿に対する感想として初めて聞いたかもw
2026-03-01,ヤギの脚の関節が好き、かわいいという,19:24,掛橋ノいおりん (omwiorin),着眼点が独特すぎるw
2026-03-01,ヤギの脚の関節が好き、かわいいという,19:46,掛橋ノいおりん (omwiorin),ヤギの関節ってw
2026-03-01,鳴潮のフィールドボス戦闘中、Aが難しいーという,24:27,掛橋ノいおりん (omwiorin),デイリーなのに割とハードそうですね笑
2026-03-01,モルモットは匂いがしないとこがいい、人間に餌をもらえる猫がより生き残って適応度が高かった、昔のヤマネコよりイエネコのほうが可愛い、ヤマネコはヤマネコで耳の先っぽの毛がちょんちょんってあるのが可愛いなどを話す,27:58,掛橋ノいおりん (omwiorin),ドロさん動物詳しすぎません？🤣
2026-03-02,sessokuがギフトしたゲームの配信時間をいつにするかの話,14:26,sessoku,合わせます。飲んで寝てなければ
2026-03-02,私もこころのガソリンある。チョコモナカジャンボ・・は液体じゃないか。ミルクティー,16:05,sessoku,かわいい
2026-03-02,私もこころのガソリンある。チョコモナカジャンボ・・は液体じゃないか。ミルクティー,17:23,sessoku,そんなドロちゃんにはミントジュレップおすすめします
2026-03-14,昨日が誕生だった,26:42,sessoku,ドロちゃん、さらに大人レディーになった抱負をお願いします
2026-03-14,,56:03,sessoku,最近磁石のつけまつげがあるって知ったんやけど、どうなの？
2026-03-14,磁石のつけまつげの話題を振られて、初めて知ったと答える,57:30,sessoku,ふむ。ドロちゃんはつけまつげをつけない美人さんなのね
2026-04-07,配信終わろうかなといい,53:56,Primesessoku,えー
2026-06-07,Aがゲーム内でデートをするという,50:52,ねぎがみ05 (negigami05),で、で、で、でででデート？！
2026-06-07,Aがゲーム内でデートをするという,51:19,ねぎがみ05 (negigami05),俺もデートしてぇ～^^
