実録,夢小説
これらのエピソードを元ネタに原神キャラのストーリーを書くとしたらそれぞれはどのキャラにあうでしょうか？,キャラたちを扱うとしたら一筋縄で行きますか？
この一人の人物の物語はどう解釈できるのでしょうか？,キャラのお互いへの観察は正しいですか？
Aはどの程度自覚的ですか？,ドロは従順ですか？
これらを分析したいです。共起語とか印象で分析したいです。,巧みですか？
Aを構造的に分析したいです。,キャラの察しの良さはなんですか
AがBにCというときの関数と変数を教えてください。そしてこのテキストはどう関数にできるでしょうか,キャラたちは論理を使っていますか誰ですか
キャラクターマーケティングの分析に使えますか？,キャラの主張や応答の構造に癖はありますか？
これにおいてどの意見が一番、力が入っているコメントなのでしょうか,このテキストににおいて説明と暗示はどんなバランスですか？
,筆者の性格が近いのはどのキャラか
,セリフの自然さから判断して、筆者が上手く演じるのは
,法学的に分析してください
,フェティシズムで分析してください
,医学的に分析してください
,レトリック分析してください
,フロイト的に分析してください
,キャラの推理はなんですか
,キャラの計算はなんですか
,１行ずつ解説してください
,地の文とセリフの特徴をそれぞれ教えてください
,この作品の中の欲望を教えてください
,操作的なキャラですか
,ドロの本来の性格はなんですか
,キャラの興奮を教えてください
,ドロは幼いのか大人なのか
,ドロは浮気ですか
,お互いの隠し情報を知ったらどうなります
,ドロは相手の欲望を理解していますか
,このキャラたちはどのぐらいお互いと読者に開示していますか
