発言,発言者,タイムスタンプ,順序
それなあ,T,2026/2/10,1
仕事終わって0時家帰って1時,T,,2
起きて6時,T,,3
五年後には死んでんな,T,,4
えぐ,A,2026/2/11,5
転職不可避,A,,6
それな,T,2026/2/12,7
シコって毎日気持ちを整えてる,T,,8
えらい,A,2月13日,9
セックスしてえ,T,2月14日,10
がんばれ,A,2月15日,11
どろちんにフェラしてもらいて,T,2月16日,12
フェラまでしたんだっけ？,T,2月16日,13
存在しない記憶やめよ,A,2月18日,14
しない！！,A,,15
まぁまぁ東京おいで,T,2月20日,16
実は今申し込みしてる,A,2月21日,17
おおお！,T,2月23日,18
なんの申し込みだ？（笑）,T,,19
賃貸！,A,,20
落ちたからまたやり直し,A,,21
賃貸か！,T,,22
審査がなかなかって感じか,T,,23
そそ,A,,24
東京と大阪で家見つかった方に行く,A,,25
ほうほう,T,,26
審査通んのか？（笑）,T,,27
わからんｗｗｗ,A,,28
通らんかもｗ,A,,29
期待薄かーい！笑笑,T,,30
頑張って探すｗ,A,,31
なんか見つかりそーな感じなんか！,T,3月3日,32
激アツ激シコ,T,,33
いけそう,A,,34
まだ確定してないけど～～～,A,,35
最高じゃん,T,,36
来たら車で家具でも買いにいこーぜ,T,,37
わお,A,,38
いいかも,A,,39
イケアとか,T,,40
イケアいいね,A,,41
でもあれだな,A,,42
痩せてからな！！,A,,43
痩せてからとは？！笑笑,T,,44
4月から来るの？,T,,45
だって乙女心！,A,3月4日,46
5月下旬から！,A,,47
新しい写真見たけどちょうどいいくらいや！,T,,48
ほほう！楽しみにしとこ（笑）,T,,49
アレは過去なんだよおおお,A,,50
私もたすたすがいると東京についてきけるかもね！,A,,51
あれは過去かあああー,T,3月5日,52
おお！まかせろり！そんなクッソ詳しいわけじゃねえけど😂,T,,53
練馬あたりに住むの？,T,,54
だから準備できてからね☆,A,,55
いや、もっと田舎で青梅市,A,,56
本当は狛江やひばりが丘がよかったんだけど,A,,57
どうせ乱れるからおっけ⭐️（笑）,T,,58
青梅かい！（笑）,T,,59
狛江も田舎だけどな…,T,,60
立川とか町田とかなかったんか,T,,61
そう、ちょー田舎ｗ,A,,62
町田はありかもね,A,,63
物件のきれいさ優先したんよ築3年,A,,64
まぁ、新宿まで一本だから悪くないよね,T,3月6日,65
熊だけ注意⚠️,T,,66
中央線なのありがたい,A,,67
くまでるのか！！！！！,A,,68
始発だと毎回座れるしな！,T,,69
👍,A,,70
噂では…,T,,71
😭,A,,72
ずりねたほちい,T,3月10日,73
のーーー,A,,74
おうのーー,T,,75
えちえち投稿完全辞めたの？,T,,76
ファンティアはバンされたからなあ,A,,77
痩せるまではやらんｗ,A,,78
そゆこと笑笑,T,,79
はよ痩せれ,T,,80
はーいｗ,A,,81
俺はちんこ太らせとくわ,T,3月12日,82
どろ引っ越してきたらえっちしような,T,,83
しません！！！,A,,84
ワンチャンあるかもしんないじゃん？,T,,85
ないぞ,A,,86
押し倒したら？,T,3月14日,87
ぶちのめす！！！！,A,3月15日,88
じゃあそん時まんこ濡れてたらおけな（笑）,T,,89
まじでNG！！！,A,,90
しらねんなこと（笑）,T,3月31日,91
相変わらずしこい顔してんな,T,,92
せいしのんで,T,,93
いやーー,A,,94
あきないなーたすたすも,A,,95
そりゃな,T,4月3日,96
どろにちんこ咥えさせるのが今年の目標,T,,97
なるほど,A,,98
ちょっとうけた,A,,99
目標達成に向けてとりま会う機会が欲しいところ🥺,T,4月6日,100
5月が待ち遠しい,T,,101
それはぁ・・,A,,102
痩せるまでまてえ,A,,103
痩せたらしゃぶってくれんの？笑笑,T,4月10日,104
上手かったらうける笑笑,T,,105
ばかいえ,A,4月11日,106
精子飲んで欲しいなあ,T,4月14日,107
そろそろ東京くんの？,T,4月16日,108
後1か月ーー,A,,109
まだ一ヶ月もあんのか,T,,110
はよきて🥺🥺🥺,T,,111
5月なったじゃん,T,5月1日,112
早よ会いたいんだが,T,,113
せやな・・,A,,114
せやろ！！,T,,115
東京不安になってきてる感じ？（笑）,T,,116
楽しみではある！,A,,117
今から荷造り,A,,118
おお！重労働だな😭,T,5月3日,119
🔥,A,,120
何日から入居になったの？,T,,121
２０日！！,A,,122
20日か！くっそ平日やんけ！,T,5月4日,123
平日！！,A,,124
休みだったら会いに行けたのに、、,T,,125
🙄,A,,126
会うだけだったらいいんでしょ？（笑）,T,5月11日,127
変なことしなければ,T,,128
いつかね！！,A,,129
！！！！！！！！！！！,A,,130
いつかっていつや！！！（笑）,T,,131
おちんちん恐怖症すぎ（笑）,T,,132
😩,A,,133
中学、高校の男の同級生とか2人で会ったことあんの？（笑）,T,,134
ないかも,A,5月12日,135
じゃあまじ,T,,136
レアケースマンじゃん,T,,137
かも・・,A,5月13日,138
じゃあ茶だけする？,T,,139
それならおけやろ,T,,140
💩,A,,141
