メッセージ,送信者
ドロでーす！,ドロ
やあ(*´-ω・)ノ,ラテ
(´･ω･`),ドロ
どろc困惑(；ᐛ ).｡oஇ,ラテ
ごめんよ,ラテ
一種のストレス回避？方法ではある,ラテ
( ˘ω˘ ) ｽﾔｧ…,ラテ
おやすや🥰,ドロ
また、配信来てね！,ドロ
もちろん,ラテ
お布団に入ってね,ドロ
どろcのきれいな手で壊されたい(恍惚とした表情),ラテ
冬はいつもコタツで寝てるよ😴,ラテ
こたつでおやすみなさい😴,ドロ
おやすみなさい,ラテ
おはよ,ラテ
仕事終わりに警察と消防と仕事(ボランティア)してきた,ラテ
間接的に人の命を救った,ラテ
お返事遅くなってごめんね🙏,ドロ
なんてこと！,ドロ
配信でも聞かせてね！みんな聞きたいと思うから！,ドロ
社会を守ってくれてありがとう☺️,ドロ
内容が内容なだけあってあまり大っぴらには言えないかな,ラテ
お酒飲んで橋から川に身投げしようとしてたけど、お酒にやられておえー(🤮)して意識消失してた,ラテ
そうだったんだ,ドロ
酔っ払うと危ないね,ドロ
第1接触者(ファーストレスポンダー )⁡,ラテ
⁡⁡,ラテ
⁡車から矢印板出して後方警戒してた,ラテ
酔った勢いで恐怖心無くして飛び降りようとしたみたい,ラテ
警察には同業者かと思ったって言われた,ラテ
おやすみ,ラテ
いっぱい仕事したんだ,ドロ
すごいなあ,ドロ
おやすみ！,ドロ
おはよ,ラテ
今日も配信来てくれてありがとう❣️,ドロ
やあ,ラテ
やあ！,ドロ
やあ,ラテ
こんにちは！また私のアカウントに来てくれて嬉しいよ！,ドロ
やあ,ラテ
昨日仕事辛かった,ラテ
1日8時間(休憩1時間含む)×5日は中々きつい,ラテ
昨日は疲労で思考力低下した,ラテ
約1kgの弁当,ラテ
どろしーの何日分？何回分？の量になるのだろうか,ラテ
お疲れ様、抹茶ラテさん！,ドロ
すごいお弁当だね！初めてみた,ドロ
ありがとう,ラテ
一緒に食べたい😋,ドロ
職場が陰湿すぎ,ラテ
私はいつでも味方だよ！,ドロ
オペ室(病院直)⁡,ラテ
⁡あたしの部署(委託外部)⁡,ラテ
⁡あたしがオペ室のスタッフと雑談しながら仕事見てたら⁡,ラテ
⁡うちの職員がうちの責任者になんで一緒にいたのって問いただされた,ラテ
Mind your⁡ business Bitchて感じ,ラテ
Fucking⁡ snitch,ラテ
疲れたよパトラッシュ,ラテ
なんで人間関係はこんなにめんどくさいのだ,ラテ
よしよし😢,ドロ
抹茶ラテさんは立派だよ,ドロ
ありがとう,ラテ
薬変える事にした,ラテ
そうだったんだ,ドロ
きっと努力家だからこそ疲れるのかも,ドロ
頑張る時は頑張るんだけどね,ラテ
がんばりの自覚が足りないかもよ！,ドロ
自分で思ってるよりずっと誠実で,ドロ
私的にはかっこいいなあ,ドロ
おやすみ😊,ドロ
ありがとう🥲︎,ラテ
おやすみ,ラテ
やあ,ラテ
ヘルプ先での評価はいいらしい,ラテ
自拠点で仕事はできるし大体の業務はできる,ラテ
ただ、人間性は(自拠点)はだめみたい,ラテ
左遷,ラテ
2026/03/02 9:40,ラテ
やあ,ラテ
異動になった,ラテ
3月は耐えれるだけ耐えるけど⁡,ラテ
⁡もう辞める,ラテ
次働く拠点は千葉県内だけど片道約70キロでヘルプの要請も抱えててそこは100キロ超える,ラテ
交通費15万くらい,ラテ
な、70キロ？,ドロ
お引越ししないと通えない？,ドロ
